process_id,task,start_time,user,industry,service_charge
1,New Client Onboarding Request,28-11-2017 18:00:00,Tom,Federal,6000
1,Review Documents,28-11-2017 19:49:34,Rod,Federal,6000
1,Automated Scoreboarding,28-11-2017 21:58:30,SYSTEM,Federal,6000
1,Update Backend Systems,28-11-2017 22:03:49,RPA,Federal,6000
1,Notification Review Request Completed,28-11-2017 22:29:57,SYSTEM,Federal,6000
2,New Client Onboarding Request,29-11-2017 18:00:00,Nick,Finance,20000
2,Review Documents,29-11-2017 18:20:09,Freddy,Finance,20000
2,Automated Scoreboarding,29-11-2017 18:44:16,SYSTEM,Finance,20000
2,Update Backend Systems,29-11-2017 18:50:39,RPA,Finance,20000
2,Notification Review Request Completed,29-11-2017 18:57:44,SYSTEM,Finance,20000
3,New Client Onboarding Request,30-11-2017 18:00:00,Clive,Federal,3000
3,Review Documents,30-11-2017 18:24:22,Freddy,Federal,3000
3,Automated Scoreboarding,30-11-2017 20:39:14,SYSTEM,Federal,3000
3,Update Backend Systems,30-11-2017 20:47:51,RPA,Federal,3000
3,Notification Review Request Completed,30-11-2017 20:54:47,SYSTEM,Federal,3000
4,New Client Onboarding Request,01-12-2017 18:00:00,Tom,Insurance,45000
4,Review Documents,01-12-2017 18:35:41,Freddy,Insurance,45000
4,Automated Scoreboarding,01-12-2017 18:40:57,SYSTEM,Insurance,45000
4,Update Backend Systems,01-12-2017 18:48:10,RPA,Insurance,45000
4,Notification Review Request Completed,01-12-2017 19:12:33,SYSTEM,Insurance,45000
5,New Client Onboarding Request,02-12-2017 18:00:00,Clive,Telecom,49000
5,Review Documents,02-12-2017 19:50:36,Rod,Telecom,49000
5,Automated Scoreboarding,02-12-2017 19:57:03,SYSTEM,Telecom,49000
5,Update Backend Systems,02-12-2017 20:03:39,RPA,Telecom,49000
5,Notification Review Request Completed,02-12-2017 20:19:10,SYSTEM,Telecom,49000
6,New Client Onboarding Request,03-12-2017 18:00:00,Nick,Healthcare,25000
6,Review Documents,03-12-2017 19:41:25,Rod,Healthcare,25000
6,Automated Scoreboarding,03-12-2017 19:53:17,SYSTEM,Healthcare,25000
6,Update Backend Systems,03-12-2017 19:57:02,RPA,Healthcare,25000
6,Notification Review Request Completed,03-12-2017 20:12:12,SYSTEM,Healthcare,25000
7,New Client Onboarding Request,04-12-2017 18:00:00,Clive,Insurance,45000
7,Review Documents,04-12-2017 18:26:36,Freddy,Insurance,45000
7,Automated Scoreboarding,04-12-2017 18:28:13,SYSTEM,Insurance,45000
7,Update Backend Systems,04-12-2017 18:32:52,RPA,Insurance,45000
7,Notification Review Request Completed,04-12-2017 18:52:01,SYSTEM,Insurance,45000
8,New Client Onboarding Request,05-12-2017 18:00:00,Clive,Healthcare,25000
8,Review Documents,05-12-2017 18:37:27,Freddy,Healthcare,25000
8,Automated Scoreboarding,05-12-2017 18:46:03,SYSTEM,Healthcare,25000
8,Update Backend Systems,05-12-2017 18:52:38,RPA,Healthcare,25000
8,Notification Review Request Completed,05-12-2017 19:02:02,SYSTEM,Healthcare,25000
9,New Client Onboarding Request,06-12-2017 18:00:00,Seb,Telecom,49000
9,Review Documents,06-12-2017 18:54:40,Freddy,Telecom,49000
9,Automated Scoreboarding,06-12-2017 19:05:17,SYSTEM,Telecom,49000
9,Update Backend Systems,06-12-2017 19:11:15,RPA,Telecom,49000
9,Notification Review Request Completed,06-12-2017 19:30:52,SYSTEM,Telecom,49000
10,New Client Onboarding Request,07-12-2017 18:00:00,Tom,Insurance,45000
10,Review Documents,07-12-2017 19:55:28,Rod,Insurance,45000
10,Automated Scoreboarding,07-12-2017 20:23:34,SYSTEM,Insurance,45000
10,Update Backend Systems,07-12-2017 20:27:31,RPA,Insurance,45000
10,Notification Review Request Completed,07-12-2017 20:47:09,SYSTEM,Insurance,45000
11,New Client Onboarding Request,08-12-2017 18:00:00,Nick,Finance,12000
11,Review Documents,08-12-2017 18:23:21,Jane,Finance,12000
11,Automated Scoreboarding,08-12-2017 18:34:14,SYSTEM,Finance,12000
11,Update Backend Systems,08-12-2017 18:43:20,RPA,Finance,12000
11,Notification Review Request Completed,08-12-2017 18:58:47,SYSTEM,Finance,12000
12,New Client Onboarding Request,09-12-2017 18:00:00,Nick,Healthcare,20000
12,Review Documents,09-12-2017 18:25:39,Jane,Healthcare,20000
12,Automated Scoreboarding,09-12-2017 18:30:17,SYSTEM,Healthcare,20000
12,Update Backend Systems,09-12-2017 18:34:15,RPA,Healthcare,20000
12,Notification Review Request Completed,09-12-2017 18:46:10,SYSTEM,Healthcare,20000
13,New Client Onboarding Request,10-12-2017 18:00:00,Clive,Telecom,49000
13,Review Documents,10-12-2017 18:36:33,Jane,Telecom,49000
13,Automated Scoreboarding,10-12-2017 18:49:03,SYSTEM,Telecom,49000
13,Update Backend Systems,10-12-2017 18:56:26,RPA,Telecom,49000
13,Notification Review Request Completed,10-12-2017 19:06:57,SYSTEM,Telecom,49000
14,New Client Onboarding Request,11-12-2017 18:00:00,Seb,Healthcare,15000
14,Review Documents,11-12-2017 19:55:44,Jane,Healthcare,15000
14,Automated Scoreboarding,11-12-2017 20:13:41,SYSTEM,Healthcare,15000
