process_id,task,start_time,end_time,user,user_group,industry,service_charge
1,New Client Onboarding Request,28-11-2017 18:00:00,28-11-2017 18:32:37,Tom,Sales,Healthcare,25000
1,Review Documents,28-11-2017 18:37:37,28-11-2017 18:48:08,Freddy,Operations,Healthcare,25000
1,Automated Scoreboarding,28-11-2017 18:53:08,28-11-2017 18:59:32,SYSTEM,SYSTEM,Healthcare,25000
1,Update Backend Systems,28-11-2017 19:04:32,28-11-2017 19:13:41,RPA,SYSTEM,Healthcare,25000
1,Notification Review Request Completed,28-11-2017 19:18:41,28-11-2017 19:26:44,SYSTEM,SYSTEM,Healthcare,25000
2,New Client Onboarding Request,29-11-2017 18:00:00,29-11-2017 18:40:47,Tom,Sales,Insurance,45000
2,Review Documents,29-11-2017 18:45:47,29-11-2017 19:21:22,Jane,Operations,Insurance,45000
2,Automated Scoreboarding,29-11-2017 19:26:22,29-11-2017 19:33:29,SYSTEM,SYSTEM,Insurance,45000
2,Update Backend Systems,29-11-2017 19:38:29,29-11-2017 19:53:31,RPA,SYSTEM,Insurance,45000
2,Notification Review Request Completed,29-11-2017 19:58:31,29-11-2017 20:07:52,SYSTEM,SYSTEM,Insurance,45000
3,New Client Onboarding Request,30-11-2017 18:00:00,30-11-2017 18:54:27,Tom,Sales,Healthcare,25000
3,Review Documents,30-11-2017 18:59:27,30-11-2017 19:11:46,Freddy,Operations,Healthcare,25000
3,Automated Scoreboarding,30-11-2017 19:16:46,30-11-2017 19:27:41,SYSTEM,SYSTEM,Healthcare,25000
3,Update Backend Systems,30-11-2017 19:32:41,30-11-2017 19:55:24,RPA,SYSTEM,Healthcare,25000
3,Notification Review Request Completed,30-11-2017 20:00:24,30-11-2017 20:09:34,SYSTEM,SYSTEM,Healthcare,25000
4,New Client Onboarding Request,01-12-2017 18:00:00,01-12-2017 18:09:38,Francis,Sales,Finance,20000
4,Review Documents,01-12-2017 18:14:38,01-12-2017 18:24:44,Freddy,Operations,Finance,20000
4,Automated Scoreboarding,01-12-2017 18:29:44,01-12-2017 18:36:02,SYSTEM,SYSTEM,Finance,20000
4,Update Backend Systems,01-12-2017 18:41:02,01-12-2017 18:58:14,RPA,SYSTEM,Finance,20000
4,Notification Review Request Completed,01-12-2017 19:03:14,01-12-2017 19:11:22,SYSTEM,SYSTEM,Finance,20000
5,New Client Onboarding Request,02-12-2017 18:00:00,02-12-2017 18:13:16,Clive,Sales,Telecom,49000
5,Review Documents,02-12-2017 19:18:16,02-12-2017 19:26:53,Rod,Operations,Telecom,49000
5,Automated Scoreboarding,02-12-2017 19:31:53,02-12-2017 19:38:03,SYSTEM,SYSTEM,Telecom,49000
5,Update Backend Systems,02-12-2017 19:43:03,02-12-2017 19:56:32,RPA,SYSTEM,Telecom,49000
5,Notification Review Request Completed,02-12-2017 20:01:32,02-12-2017 20:07:31,SYSTEM,SYSTEM,Telecom,49000
6,New Client Onboarding Request,03-12-2017 18:00:00,03-12-2017 18:24:17,Clive,Sales,Insurance,45000
6,Review Documents,03-12-2017 18:29:17,03-12-2017 19:51:17,Freddy,Operations,Insurance,45000
